OR4F5	NM_001005484
PLD4	NM_138790
AHNAK2	NM_138420
C14orf79	NM_174891
CDCA4	NM_017955
GPR132	NM_013345
JAG2	NM_145159
NUDT14	NM_177533
BRF1	NM_001519
BTBD6	NM_033271
PACS2	NM_001100913
TEX22	NM_001195082
MTA1	NM_004689
CRIP2	NM_001312
CRIP1	NM_001311
C14orf80	NM_001134875
TMEM121	NM_025268
GOLGA6L6	NM_001145004
POTEB	NM_207355
OR4M2	NM_001004719
OR4N4	NM_001005241
GOLGA6L1	NM_001001413
TUBGCP5	NM_052903
CYFIP1	NM_014608
NIPA2	NM_001008892
NIPA1	NM_144599
MKRN3	NM_005664
MAGEL2	NM_019066
NDN	NM_002487
SNRPN	NM_022805
SNURF	NM_022804
UBE3A	NM_130839
ATP10A	NM_024490
GABRB3	NM_000814
GABRA5	NM_001165037
GABRG3	NM_033223
OCA2	NM_000275
HERC2	NM_004667
APBA2	NM_005503
FAM189A1	NM_015307
NDNL2	NM_138704
TJP1	NM_003257
CHRFAM7A	NM_139320
ARHGAP11B	NM_001039841
FAN1	NM_014967
MTMR10	NM_017762
TRPM1	NM_001252020
LOC283710	NM_001243538
KLF13	NM_015995
OTUD7A	NM_130901
CHRNA7	NM_001190455
ARHGAP11A	NM_014783
SCG5	NM_001144757
GREM1	NM_013372
FMN1	NM_001103184
RYR3	NM_001036
AVEN	NM_020371
CHRM5	NM_012125
PGBD4	NM_152595
SLC12A6	NM_133647
NOP10	NM_018648
C15orf55	NM_175741
LPCAT4	NM_153613
GOLGA8A	NM_181077
GOLGA8B	NM_001023567
GJD2	NM_020660
ACTC1	NM_005159
AQR	NM_014691
ZNF770	NM_014106
ATPBD4	NM_080650
C15orf41	NM_001130010
MEIS2	NM_170675
TMCO5A	NM_152453
SPRED1	NM_152594
FAM98B	NM_173611
RASGRP1	NM_005739
C15orf53	NM_207444
C15orf54	NM_207445
THBS1	NM_003246
FSIP1	NM_152597
GPR176	NM_007223
EIF2AK4	NM_001013703
SRP14	NM_003134
BMF	NM_001003940
BUB1B	NM_001211
PAK6	NM_001128628
C15orf56	NM_001039905
ANKRD63	NM_001190479
PLCB2	NM_004573
C15orf52	NM_207380
PHGR1	NM_001145643
DISP2	NM_033510
C15orf23	NM_033286
IVD	NM_002225
BAHD1	NM_014952
CHST14	NM_130468
C15orf57	NM_001080791
RPUSD2	NM_152260
CASC5	NM_144508
RAD51	NM_002875
FAM82A2	NM_018145
GCHFR	NM_005258
DNAJC17	NM_018163
C15orf62	NM_001130448
ZFYVE19	NM_001077268
PPP1R14D	NM_001130143
SPINT1	NM_003710
RHOV	NM_133639
VPS18	NM_020857
DLL4	NM_019074
CHAC1	NM_024111
INO80	NM_017553
EXD1	NM_152596
OIP5	NM_007280
NUSAP1	NM_018454
NDUFAF1	NM_016013
RTF1	NM_015138
ITPKA	NM_002220
LTK	NM_002344
RPAP1	NM_015540
TYRO3	NM_006293
MGA	NM_001164273
MAPKBP1	NM_001128608
JMJD7-PLA2G4B	NM_005090
SPTBN5	NM_016642
EHD4	NM_139265
PLA2G4E	NM_001206670
PLA2G4D	NM_178034
PLA2G4F	NM_213600
VPS39	NM_015289
TMEM87A	NM_015497
GANC	NM_198141
CAPN3	NM_024344
ZFP106	NM_022473
SNAP23	NM_003825
LRRC57	NM_153260
HAUS2	NM_018097
STARD9	NM_020759
CDAN1	NM_138477
TTBK2	NM_173500
UBR1	NM_174916
TMEM62	NM_024956
CCNDBP1	NM_012142
EPB42	NM_001114134
TGM5	NM_201631
TGM7	NM_052955
LCMT2	NM_014793
ADAL	NM_001159280
ZSCAN29	NM_152455
TUBGCP4	NM_014444
TP53BP1	NM_001141980
MAP1A	NM_002373
PPIP5K1	NM_014659
CKMT1B	NM_020990
STRC	NM_153700
CATSPER2	NM_172095
CKMT1A	NM_001015001
PDIA3	NM_005313
ELL3	NM_025165
SERF2	NM_001199875
MFAP1	NM_005926
WDR76	NM_024908
FRMD5	NM_032892
CASC4	NM_138423
CTDSPL2	NM_016396
EIF3J	NM_003758
SPG11	NM_025137
PATL2	NM_001145112
B2M	NM_004048
TRIM69	NM_182985
C15orf43	NM_152448
SORD	NM_003104
DUOX2	NM_014080
DUOXA2	NM_207581
DUOXA1	NM_144565
DUOX1	NM_175940
SHF	NM_138356
SLC28A2	NM_004212
GATM	NM_001482
SPATA5L1	NM_024063
C15orf48	NM_032413
SLC30A4	NM_013309
SQRDL	NM_021199
SEMA6D	NM_153618
SLC24A5	NM_205850
MYEF2	NM_016132
CTXN2	NM_001145668
SLC12A1	NM_001184832
DUT	NM_001025248
FBN1	NM_000138
CEP152	NM_001194998
SHC4	NM_203349
EID1	NM_014335
SECISBP2L	NM_001193489
COPS2	NM_001143887
GALK2	NM_002044
FGF7	NM_002009
DTWD1	NM_001144955
ATP8B4	NM_024837
SLC27A2	NM_003645
HDC	NM_002112
GABPB1	NM_005254
USP8	NM_005154
USP50	NM_203494
TRPM7	NM_017672
SPPL2A	NM_032802
AP4E1	NM_007347
TNFAIP8L3	NM_207381
CYP19A1	NM_000103
GLDN	NM_181789
DMXL2	NM_001174116
SCG3	NM_013243
LYSMD2	NM_153374
TMOD2	NM_014548
TMOD3	NM_014547
LEO1	NM_138792
MAPK6	NM_002748
BCL2L10	NM_020396
GNB5	NM_016194
MYO5C	NM_018728
MYO5A	NM_000259
ARPP19	NM_006628
FAM214A	NM_019600
ONECUT1	NM_004498
WDR72	NM_182758
UNC13C	NM_001080534
RSL24D1	NM_016304
RAB27A	NM_183236
PIGB	NM_004855
CCPG1	NM_001204450
FLJ27352	NM_001198784
DYX1C1	NM_130810
PYGO1	NM_015617
PRTG	NM_173814
NEDD4	NM_198400
RFX7	NM_022841
TEX9	NM_198524
MNS1	NM_018365
ZNF280D	NM_017661
TCF12	NM_207036
CGNL1	NM_032866
GCOM1	NM_001018090
POLR2M	NM_015532
ALDH1A2	NM_003888
AQP9	NM_020980
LIPC	NM_000236
ADAM10	NM_001110
FAM63B	NM_001040450
SLTM	NM_024755
RNF111	NM_017610
CCNB2	NM_004701
MYO1E	NM_004998
LDHAL6B	NM_033195
FAM81A	NM_152450
GCNT3	NM_004751
GTF2A2	NM_004492
BNIP2	NM_004330
FOXB1	NM_012182
ANXA2	NM_001002858
NARG2	NM_024611
RORA	NM_134260
VPS13C	NM_020821
C2CD4A	NM_207322
C2CD4B	NM_001007595
TLN2	NM_015059
TPM1	NM_001018020
LACTB	NM_032857
RPS27L	NM_015920
RAB8B	NM_016530
APH1B	NM_031301
CA12	NM_001218
USP3	NM_006537
FBXL22	NM_203373
HERC1	NM_003922
DAPK2	NM_014326
FAM96A	NM_032231
SNX1	NM_001242933
SNX22	NM_024798
PPIB	NM_000942
CSNK1G1	NM_022048
KIAA0101	NM_014736
TRIP4	NM_016213
ZNF609	NM_015042
OAZ2	NM_002537
RBPMS2	NM_194272
PIF1	NM_025049
PLEKHO2	NM_025201
ANKDD1A	NM_182703
SPG21	NM_016630
MTFMT	NM_139242
RASL12	NM_016563
KBTBD13	NM_001101362
UBAP1L	NM_001163692
PDCD7	NM_005707
CLPX	NM_006660
CILP	NM_003613
PARP16	NM_017851
IGDCC3	NM_004884
IGDCC4	NM_020962
DPP8	NM_130434
PTPLAD1	NM_016395
SLC24A1	NM_004727
DENND4A	NM_005848
RAB11A	NM_004663
MEGF11	NM_032445
DIS3L	NM_001143688
TIPIN	NM_017858
MAP2K1	NM_002755
SNAPC5	NM_006049
RPL4	NM_000968
ZWILCH	NM_017975
LCTL	NM_207338
SMAD6	NM_005585
SMAD3	NM_005902
AAGAB	NM_024666
IQCH	NM_001031715
C15orf61	NM_001143936
MAP2K5	NM_145160
PIAS1	NM_016166
CALML4	NM_033429
CLN6	NM_017882
FEM1B	NM_015322
ITGA11	NM_001004439
CORO2B	NM_001190456
ANP32A	NM_006305
SPESP1	NM_145658
NOX5	NM_024505
GLCE	NM_015554
PAQR5	NM_017705
KIF23	NM_138555
RPLP1	NM_001003
TLE3	NM_005078
UACA	NM_018003
LARP6	NM_018357
THAP10	NM_020147
LRRC49	NM_001199017
CT62	NM_001102658
THSD4	NM_024817
NR2E3	NM_016346
MYO9A	NM_006901
SENP8	NM_001172111
GRAMD2	NM_001012642
PKM	NM_001206796
PARP6	NM_020214
CELF6	NM_052840
HEXA	NM_000520
TMEM202	NM_001080462
ARIH1	NM_005744
GOLGA6B	NM_018652
BBS4	NM_033028
ADPGK	NM_031284
NEO1	NM_002499
HCN4	NM_005477
C15orf60	NM_001042367
NPTN	NM_012428
CD276	NM_001024736
C15orf59	NM_001039614
TBC1D21	NM_153356
LOXL1	NM_005576
STOML1	NM_004809
PML	NM_033238
GOLGA6A	NM_001038640
ISLR2	NM_020851
ISLR	NM_201526
STRA6	NM_001199042
CCDC33	NM_025055
CYP11A1	NM_000781
SEMA7A	NM_003612
UBL7	NM_201265
ARID3B	NM_006465
CLK3	NM_001130028
EDC3	NM_025083
CYP1A1	NM_000499
CYP1A2	NM_000761
CSK	NM_001127190
LMAN1L	NM_021819
CPLX3	NM_001030005
ULK3	NM_001099436
SCAMP2	NM_005697
MPI	NM_002435
COX5A	NM_004255
RPP25	NM_017793
SCAMP5	NM_138967
PPCDC	NM_021823
C15orf39	NM_015492
GOLGA6C	NM_001164404
GOLGA6D	NM_001145224
COMMD4	NM_017828
NEIL1	NM_024608
MAN2C1	NM_006715
SIN3A	NM_015477
PTPN9	NM_002833
SNUPN	NM_001042588
IMP3	NM_018285
SNX33	NM_153271
CSPG4	NM_001897
ODF3L1	NM_175881
UBE2Q2	NM_173469
FBXO22	NM_147188
NRG4	NM_138573
C15orf27	NM_152335
ETFA	NM_000126
ISL2	NM_145805
SCAPER	NM_020843
RCN2	NM_002902
PSTPIP1	NM_003978
TSPAN3	NM_005724
PEAK1	NM_024776
HMG20A	NM_018200
LINGO1	NM_032808
TBC1D2B	NM_144572
SH2D7	NM_001101404
CIB2	NM_006383
IDH3A	NM_005530
ACSBG1	NM_015162
DNAJA4	NM_018602
WDR61	NM_025234
CRABP1	NM_004378
IREB2	NM_004136
AGPHD1	NM_001013619
PSMA4	NM_001102667
CHRNA5	NM_000745
CHRNA3	NM_000743
CHRNB4	NM_000750
ADAMTS7	NM_014272
MORF4L1	NM_206839
CTSH	NM_004390
RASGRF1	NM_001145648
ANKRD34C	NM_001146341
TMED3	NM_007364
KIAA1024	NM_015206
MTHFS	NM_006441
BCL2A1	NM_004049
ZFAND6	NM_001242911
FAH	NM_000137
ARNT2	NM_014862
FAM108C1	NM_021214
KIAA1199	NM_018689
MESDC2	NM_015154
MESDC1	NM_022566
C15orf26	NM_173528
IL16	NM_172217
STARD5	NM_181900
TMC3	NM_001080532
MEX3B	NM_032246
EFTUD1	NM_024580
FAM154B	NM_001008226
GOLGA6L10	NM_001164465
GOLGA6L9	NM_198181
RPS17L	NM_001199057
CPEB1	NM_030594
AP3B2	NM_004644
FSD2	NM_001007122
WHAMM	NM_001080435
HOMER2	NM_199330
FAM103A1	NM_031452
C15orf40	NM_001160113
BTBD1	NM_025238
TM6SF1	NM_023003
HDGFRP3	NM_016073
BNC1	NM_001717
SH3GL3	NM_003027
ADAMTSL3	NM_207517
LOC100505679	NM_001243531
ZSCAN2	NM_181877
WDR73	NM_032856
NMB	NM_205858
SEC11A	NM_014300
ZNF592	NM_014630
ALPK3	NM_020778
SLC28A1	NM_004213
PDE8A	NM_002605
AKAP13	NM_006738
KLHL25	NM_022480
AGBL1	NM_152336
NTRK3	NM_001012338
MRPL46	NM_022163
MRPS11	NM_022839
DET1	NM_017996
AEN	NM_022767
ISG20	NM_002201
ACAN	NM_013227
HAPLN3	NM_178232
MFGE8	NM_005928
ABHD2	NM_152924
RLBP1	NM_000326
FANCI	NM_001113378
POLG	NM_001126131
RHCG	NM_016321
KIF7	NM_198525
PLIN1	NM_001145311
PEX11A	NM_003847
WDR93	NM_020212
MESP1	NM_018670
MESP2	NM_001039958
ANPEP	NM_001150
C15orf38-AP3S2	NM_001199058
ZNF710	NM_198526
IDH2	NM_002168
SEMA4B	NM_198925
CIB1	NM_006384
TTLL13	NM_001029964
NGRN	NM_001033088
ZNF774	NM_001004309
IQGAP1	NM_003870
CRTC3	NM_022769
BLM	NM_000057
FURIN	NM_002569
FES	NM_002005
MAN2A2	NM_006122
HDDC3	NM_198527
UNC45A	NM_018671
RCCD1	NM_001017919
PRC1	NM_003981
VPS33B	NM_018668
SV2B	NM_014848
SLCO3A1	NM_013272
ST8SIA2	NM_006011
C15orf32	NM_153040
FAM174B	NM_207446
CHD2	NM_001271
RGMA	NM_001166283
MCTP2	NM_018349
NR2F2	NM_021005
SPATA8	NM_173499
ARRDC4	NM_183376
FAM169B	NM_182562
IGF1R	NM_000875
PGPEP1L	NM_001102612
SYNM	NM_145728
TTC23	NM_001040659
LRRC28	NM_144598
MEF2A	NM_005587
LYSMD4	NM_152449
ADAMTS17	NM_139057
CERS3	NM_178842
LINS	NM_001040616
ASB7	NM_198243
ALDH1A3	NM_000693
LRRK1	NM_024652
CHSY1	NM_014918
SNRPA1	NM_003090
PCSK6	NM_002570
TM2D3	NM_078474
TARSL2	NM_152334
OR4F6	NM_001005326
OR4F15	NM_001001674
OR4F4	NM_001004195
POLR3K	NM_016310
SNRNP25	NM_024571
RHBDF1	NM_022450
MPG	NM_001015052
NPRL3	NM_001077350
HBZ	NM_005332
HBM	NM_001003938
HBA2	NM_000517
HBA1	NM_000558
HBQ1	NM_005331
LUC7L	NM_201412
ITFG3	NM_032039
RGS11	NM_183337
ARHGDIG	NM_001176
PDIA2	NM_006849
AXIN1	NM_003502
MRPL28	NM_006428
TMEM8A	NM_021259
NME4	NM_005009
DECR2	NM_020664
RAB11FIP3	NM_014700
SOLH	NM_005632
C16orf11	NM_145270
NHLRC4	NM_176677
PIGQ	NM_148920
RAB40C	NM_001172665
WFIKKN1	NM_053284
C16orf13	NM_032366
FAM195A	NM_138418
WDR90	NM_145294
RHOT2	NM_138769
RHBDL1	NM_003961
STUB1	NM_005861
JMJD8	NM_001005920
WDR24	NM_032259
FBXL16	NM_153350
METRN	NM_024042
FAM173A	NM_023933
CCDC78	NM_001031737
HAGHL	NM_032304
NARFL	NM_022493
MSLN	NM_001177355
RPUSD1	NM_058192
CHTF18	NM_022092
GNG13	NM_016541
PRR25	NM_001013638
LMF1	NM_022773
SOX8	NM_014587
SSTR5	NM_001172560
C1QTNF8	NM_207419
CACNA1H	NM_021098
TPSG1	NM_012467
TPSB2	NM_024164
TPSAB1	NM_003294
TPSD1	NM_012217
UBE2I	NM_194260
BAIAP3	NM_003933
GNPTG	NM_032520
UNKL	NM_001193388
C16orf91	NM_001010878
CCDC154	NM_001143980
CLCN7	NM_001287
PTX4	NM_001013658
TELO2	NM_016111
IFT140	NM_014714
TMEM204	NM_024600
CRAMP1L	NM_020825
HN1L	NM_144570
MAPK8IP3	NM_015133
NME3	NM_002513
MRPS34	NM_023936
SPSB3	NM_080861
NUBP2	NM_012225
IGFALS	NM_001146006
HAGH	NM_005326
FAHD1	NM_001018104
HS3ST6	NM_001009606
RPL3L	NM_005061
NDUFB10	NM_004548
RPS2	NM_002952
RNF151	NM_174903
TBL3	NM_006453
NOXO1	NM_172168
GFER	NM_005262
SYNGR3	NM_004209
ZNF598	NM_178167
NPW	NM_001099456
SLC9A3R2	NM_001130012
NTHL1	NM_002528
TSC2	NM_000548
PKD1	NM_001009944
RAB26	NM_014353
TRAF7	NM_032271
CASKIN1	NM_020764
MLST8	NM_001199173
PGP	NM_001042371
E4F1	NM_004424
DNASE1L2	NM_001374
ECI1	NM_001919
RNPS1	NM_006711
ABCA3	NM_001089
CCNF	NM_001761
C16orf59	NM_025108
NTN3	NM_006181
TBC1D24	NM_001199107
ATP6V0C	NM_001198569
AMDHD2	NM_001145815
CEMP1	NM_001048212
PDPK1	NM_002613
KCTD5	NM_018992
PRSS27	NM_031948
SRRM2	NM_016333
TCEB2	NM_207013
PRSS33	NM_152891
PRSS41	NM_001135086
PRSS21	NM_006799
ZG16B	NM_145252
PRSS22	NM_022119
FLYWCH2	NM_001142500
FLYWCH1	NM_032296
KREMEN2	NM_172229
PAQR4	NM_152341
PKMYT1	NM_004203
CLDN9	NM_020982
CLDN6	NM_021195
TNFRSF12A	NM_016639
HCFC1R1	NM_017885
THOC6	NM_024339
CCDC64B	NM_001103175
MMP25	NM_022468
IL32	NM_001012718
ZSCAN10	NM_032805
ZNF205	NM_003456
ZNF213	NM_004220
OR1F1	NM_012360
ZNF200	NM_198088
MEFV	NM_000243
ZNF263	NM_005741
TIGD7	NM_033208
ZNF75A	NM_153028
OR2C1	NM_012368
MTRNR2L4	NM_001190476
ZNF434	NM_017810
ZNF174	NM_003450
ZNF597	NM_152457
NAA60	NM_001083600
C16orf90	NM_001080524
CLUAP1	NM_015041
NLRC3	NM_178844
SLX4	NM_032444
DNASE1	NM_005223
TRAP1	NM_016292
CREBBP	NM_004380
ADCY9	NM_001116
SRL	NM_001098814
TFAP4	NM_003223
GLIS2	NM_032575
CORO7-PAM16	NM_001201479
VASN	NM_138440
DNAJA3	NM_005147
NMRAL1	NM_020677
HMOX2	NM_002134
C16orf96	NM_001145011
FAM100A	NM_145253
MGRN1	NM_015246
NUDT16L1	NM_032349
ANKS3	NM_133450
C16orf71	NM_139170
ZNF500	NM_021646
SEPT12	NM_144605
LOC440335	NM_001253794
ROGDI	NM_024589
GLYR1	NM_032569
UBN1	NM_001079514
PPL	NM_002705
SEC14L5	NM_014692
NAGPA	NM_016256
C16orf89	NM_152459
ALG1	NM_019109
FAM86A	NM_201400
RBFOX1	NM_145891
TMEM114	NM_001146336
METTL22	NM_024109
ABAT	NM_020686
TMEM186	NM_015421
PMM2	NM_000303
CARHSP1	NM_014316
USP7	NM_003470
C16orf72	NM_014117
GRIN2A	NM_001134407
ATF7IP2	NM_024997
EMP2	NM_001424
TEKT5	NM_144674
NUBP1	NM_002484
FAM18A	NM_001079512
CIITA	NM_000246
DEXI	NM_014015
CLEC16A	NM_015226
SOCS1	NM_003745
TNP2	NM_005425
PRM3	NM_021247
PRM2	NM_002762
PRM1	NM_002761
RMI2	NM_152308
LITAF	NM_001136472
SNN	NM_003498
TXNDC11	NM_015914
ZC3H7A	NM_014153
RSL1D1	NM_015659
GSPT1	NM_002094
TNFRSF17	NM_001192
SNX29	NM_032167
CPPED1	NM_018340
SHISA9	NM_001145204
ERCC4	NM_005236
MKL2	NM_014048
PARN	NM_002582
BFAR	NM_016561
PLA2G10	NM_003561
NOMO1	NM_014287
NPIP	NM_006985
PDXDC1	NM_015027
NTAN1	NM_173474
RRN3	NM_018427
MPV17L	NM_001128423
C16orf45	NM_033201
KIAA0430	NM_001184998
NDE1	NM_017668
MYH11	NM_001040114
FOPNL	NM_144600
ABCC1	NM_004996
ABCC6	NM_001171
NOMO3	NM_001004067
XYLT1	NM_022166
NOMO2	NM_001004060
RPS15A	NM_001030009
ARL6IP1	NM_015161
SMG1	NM_015092
TMC7	NM_024847
COQ7	NM_016138
ITPRIPL2	NM_001034841
SYT17	NM_016524
TMC5	NM_001105248
GDE1	NM_016641
CCP110	NM_001199022
C16orf62	NM_020314
C16orf88	NM_001012991
IQCK	NM_153208
GPRC5B	NM_016235
GPR139	NM_001002911
GP2	NM_001502
UMOD	NM_001008389
PDILT	NM_174924
ACSM5	NM_017888
ACSM2A	NM_001010845
ACSM2B	NM_001105069
ACSM1	NM_052956
THUMPD1	NM_017736
ACSM3	NM_005622
ERI2	NM_001142725
LOC81691	NM_030941
DCUN1D3	NM_173475
LYRM1	NM_001128302
DNAH3	NM_017539
TMEM159	NM_020422
ZP2	NM_003460
ANKS4B	NM_145865
CRYM	NM_001888
NPIPL3	NM_130464
METTL9	NM_016025
IGSF6	NM_005849
OTOA	NM_144672
UQCRC2	NM_003366
PDZD9	NM_173806
C16orf52	NM_001164579
VWA3A	NM_173615
EEF2K	NM_013302
POLR3E	NM_018119
CDR2	NM_001802
LOC100132247	NM_001135865
HS3ST2	NM_006043
USP31	NM_020718
SCNN1G	NM_001039
SCNN1B	NM_000336
COG7	NM_153603
GGA2	NM_015044
EARS2	NM_001083614
UBFD1	NM_019116
NDUFAB1	NM_005003
PALB2	NM_024675
DCTN5	NM_032486
PLK1	NM_005030
ERN2	NM_033266
CHP2	NM_022097
PRKCB	NM_002738
CACNG3	NM_006539
RBBP6	NM_006910
TNRC6A	NM_014494
SLC5A11	NM_052944
ARHGAP17	NM_001006634
LCMT1	NM_016309
AQP8	NM_001169
ZKSCAN2	NM_001012981
HS3ST4	NM_006040
C16orf82	NM_001145545
NSMCE1	NM_145080
IL4R	NM_000418
IL21R	NM_021798
GTF3C1	NM_001520
KIAA0556	NM_015202
GSG1L	NM_001109763
XPO6	NM_015171
SBK1	NM_001024401
EIF3C	NM_001037808
CLN3	NM_001042432
APOBR	NM_018690
IL27	NM_145659
NUPR1	NM_001042483
CCDC101	NM_138414
SULT1A2	NM_001054
SULT1A1	NM_177530
ATXN2L	NM_148414
TUFM	NM_003321
SH2B1	NM_001145795
ATP2A1	NM_173201
RABEP2	NM_024816
CD19	NM_001178098
NFATC2IP	NM_032815
SPNS1	NM_001142448
LAT	NM_001014989
BOLA2B	NM_001039182
SLX1B	NM_024044
SULT1A3	NM_177552
SPN	NM_001030288
QPRT	NM_014298
C16orf54	NM_175900
ZG16	NM_152338
KIF22	NM_007317
MAZ	NM_001042539
PRRT2	NM_145239
MVP	NM_005115
CDIPT	NM_006319
SEZ6L2	NM_001243332
ASPHD1	NM_181718
KCTD13	NM_178863
TMEM219	NM_001083613
TAOK2	NM_016151
HIRIP3	NM_003609
INO80E	NM_173618
DOC2A	NM_003586
C16orf92	NM_001109660
FAM57B	NM_031478
ALDOA	NM_001243177
PPP4C	NM_002720
TBX6	NM_004608
YPEL3	NM_001145524
GDPD3	NM_024307
MAPK3	NM_002746
CORO1A	NM_007074
CD2BP2	NM_006110
TBC1D10B	NM_015527
MYLPF	NM_013292
SEPT1	NM_052838
ZNF48	NM_001214906
ZNF771	NM_016643
DCTPP1	NM_024096
SEPHS2	NM_012248
ITGAL	NM_002209
ZNF768	NM_024671
ZNF747	NM_023931
ZNF764	NM_033410
ZNF688	NM_001024683
ZNF785	NM_152458
ZNF689	NM_138447
PRR14	NM_024031
FBRS	NM_001105079
SRCAP	NM_006662
PHKG2	NM_001172432
C16orf93	NM_001014979
RNF40	NM_014771
ZNF629	NM_001080417
BCL7C	NM_004765
CTF1	NM_001330
FBXL19	NM_001099784
ORAI3	NM_152288
SETD1A	NM_014712
HSD3B7	NM_025193
STX1B	NM_052874
STX4	NM_004604
ZNF668	NM_001172669
ZNF646	NM_014699
PRSS53	NM_001039503
VKORC1	NM_024006
BCKDK	NM_005881
KAT8	NM_182958
PRSS8	NM_002773
PRSS36	NM_173502
FUS	NM_004960
PYCARD	NM_013258
TRIM72	NM_001008274
PYDC1	NM_152901
ITGAM	NM_001145808
ITGAX	NM_000887
ITGAD	NM_005353
COX6A2	NM_005205
ZNF843	NM_001136509
ARMC5	NM_001105247
TGFB1I1	NM_001042454
SLC5A2	NM_003041
C16orf58	NM_022744
AHSP	NM_016633
ZNF267	NM_003414
LOC729264	NM_001243722
TP53TG3B	NM_001205265
TP53TG3C	NM_001205260
SHCBP1	NM_024745
VPS35	NM_018206
ORC6	NM_014321
MYLK3	NM_182493
C16orf87	NM_001001436
GPT2	NM_133443
DNAJA2	NM_005880
NETO2	NM_018092
ITFG1	NM_030790
PHKB	NM_000293
ABCC12	NM_033226
ABCC11	NM_032583
LONP2	NM_031490
SIAH1	NM_003031
N4BP1	NM_153029
CBLN1	NM_004352
C16orf78	NM_144602
ZNF423	NM_015069
HEATR3	NM_182922
PAPD5	NM_001040284
ADCY7	NM_001114
BRD7	NM_001173984
NKD1	NM_033119
SNX20	NM_182854
NOD2	NM_022162
CYLD	NM_001042355
SALL1	NM_002968
LOC388276	NM_001242473
TOX3	NM_001080430
CHD9	NM_025134
LOC643802	NM_001207030
RBL2	NM_005611
AKTIP	NM_022476
RPGRIP1L	NM_015272
FTO	NM_001080432
IRX3	NM_024336
IRX5	NM_005853
IRX6	NM_024335
MMP2	NM_004530
LPCAT2	NM_017839
CAPNS2	NM_032330
SLC6A2	NM_001172504
CES1	NM_001025195
CES5A	NM_001190158
GNAO1	NM_138736
AMFR	NM_001144
NUDT21	NM_007006
OGFOD1	NM_018233
BBS2	NM_031885
MT4	NM_032935
MT3	NM_005954
MT2A	NM_005953
MT1E	NM_175617
MT1M	NM_176870
MT1A	NM_005946
MT1B	NM_005947
MT1F	NM_005949
MT1G	NM_005950
MT1H	NM_005951
MT1X	NM_005952
NUP93	NM_014669
SLC12A3	NM_000339
HERPUD1	NM_014685
CETP	NM_000078
NLRC5	NM_032206
CPNE2	NM_152727
FAM192A	NM_024946
RSPRY1	NM_133368
ARL2BP	NM_012106
PLLP	NM_015993
CCL22	NM_002990
CX3CL1	NM_002996
CCL17	NM_002987
CIAPIN1	NM_020313
COQ9	NM_020312
POLR2C	NM_032940
DOK4	NM_018110
CCDC102A	NM_033212
GPR114	NM_153837
GPR56	NM_001145770
GPR97	NM_170776
CCDC135	NM_032269
KATNB1	NM_005886
KIFC3	NM_005550
CNGB1	NM_001297
TEPP	NM_199046
ZNF319	NM_020807
MMP15	NM_002428
C16orf80	NM_013242
CSNK2A2	NM_001896
CCDC113	NM_014157
PRSS54	NM_001080492
GINS3	NM_001126129
NDRG4	NM_020465
SETD6	NM_001160305
CNOT1	NM_016284
SLC38A7	NM_018231
GOT2	NM_002080
CDH8	NM_001796
CDH11	NM_001797
CDH5	NM_001795
BEAN1	NM_001178020
TK2	NM_004614
CMTM1	NM_052999
CMTM2	NM_144673
CMTM3	NM_144601
CMTM4	NM_178818
DYNC1LI2	NM_006141
CCDC79	NM_001136505
NAE1	NM_003905
CA7	NM_005182
PDP2	NM_020786
CDH16	NM_004062
RRAD	NM_004165
FAM96B	NM_016062
CES2	NM_003869
CES3	NM_024922
CES4A	NM_173815
CBFB	NM_022845
C16orf70	NM_025187
B3GNT9	NM_033309
TRADD	NM_003789
FBXL8	NM_018378
HSF4	NM_001040667
NOL3	NM_001185057
KIAA0895L	NM_001040715
EXOC3L1	NM_178516
E2F4	NM_001950
ELMO3	NM_024712
LRRC29	NM_001004055
TMEM208	NM_014187
FHOD1	NM_013241
SLC9A5	NM_004594
PLEKHG4	NM_001129728
KCTD19	NM_001100915
LRRC36	NM_018296
TPPP3	NM_015964
ZDHHC1	NM_013304
HSD11B2	NM_000196
ATP6V0D1	NM_004691
AGRP	NM_001138
FAM65A	NM_001193523
CTCF	NM_006565
RLTPR	NM_001013838
ACD	NM_001082486
PARD6A	NM_016948
C16orf86	NM_001012984
GFOD2	NM_030819
RANBP10	NM_020850
TSNAXIP1	NM_018430
CENPT	NM_025082
THAP11	NM_020457
NUTF2	NM_005796
EDC4	NM_014329
NRN1L	NM_198443
PSKH1	NM_006742
CTRL	NM_001907
PSMB10	NM_002801
LCAT	NM_000229
SLC12A4	NM_001145962
DPEP3	NM_022357
DPEP2	NM_022355
DDX28	NM_018380
DUS2L	NM_017803
NFATC3	NM_173165
ESRP2	NM_024939
PLA2G15	NM_012320
SLC7A6	NM_003983
SLC7A6OS	NM_032178
PRMT7	NM_019023
SMPD3	NM_018667
ZFP90	NM_133458
CDH3	NM_001793
CDH1	NM_004360
TMCO7	NM_024562
HAS3	NM_001199280
CHTF8	NM_001040146
CIRH1A	NM_032830
SNTB2	NM_006750
VPS4A	NM_013245
COG8	NM_032382
PDF	NM_022341
NIP7	NM_016101
TMED6	NM_144676
TERF2	NM_005652
CYB5B	NM_030579
NFAT5	NM_138713
NQO1	NM_000903
NOB1	NM_014062
WWP2	NM_007014
